Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q8. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q9. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q10. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q11. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q12. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q13. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q14. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q15. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q16. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q17. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q18. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q19. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q20. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q21. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q22. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q23. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q24. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q25. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q26. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?
Masculino;21 até 29 anos;Superior Completo;Não;Muito confortável;Muito confortável;Muito confortável;Confortável;Normal;Normal;Normal;Muito confortável;Confortável;Muito confortável;Normal;Normal;Normal;Normal;Muito confortável;Normal;Normal;Normal;Normal;Desconfortável
Masculino;18 até 20 anos;Superior Incompleto;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Confortável;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Confortável;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Confortável;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Incompleto;Sim;Normal;Desconfortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Normal;Confortável;Normal;Normal;Normal;Normal;Confortável
Feminino;21 até 29 anos;Superior Incompleto;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;40 até 49 anos;Pós-Graduação Completa;Sim;Normal;Normal;Normal;Desconfortável;Desconfortável;Normal;Normal;Normal;Normal;Confortável;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Confortável;Confortável;Normal;Desconfortável;Normal;Normal
Masculino;40 até 49 anos;Superior Completo;Sim;Normal;Confortável;Desconfortável;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Desconfortável;Normal;Desconfortável;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Completo;Sim;Confortável;Desconfortável;Desconfortável;Desconfortável;Normal;Normal;Normal;Desconfortável;Normal;Normal;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Normal;Desconfortável;Normal;Desconfortável;Normal;Desconfortável
