Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q8. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q9. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q10. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q11. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q12. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q13. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q14. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q15. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q16. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q17. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q18. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q19. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q20. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q21. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q22. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q23. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q24. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q25. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q26. Qual o nível de carisma apresentado pelo personagem no vídeo?
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Incompleto;Sim;Carismático;Normal;Carismático;Carismático;Normal;Carismático;Carismático;Carismático;Carismático;Carismático;Normal;Carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Incompleto;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;40 até 49 anos;Pós-Graduação Completa;Sim;Normal;Normal;Normal;Sem carisma;Pouco carismático;Normal;Normal;Sem carisma;Sem carisma;Normal;Pouco carismático;Sem carisma;Pouco carismático;Pouco carismático;Carismático;Carismático;Normal;Sem carisma;Normal;Normal
Masculino;40 até 49 anos;Superior Completo;Sim;Pouco carismático;Sem carisma;Pouco carismático;Pouco carismático;Sem carisma;Normal;Normal;Normal;Normal;Normal;Pouco carismático;Normal;Pouco carismático;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Completo;Sim;Carismático;Normal;Normal;Normal;Pouco carismático;Normal;Normal;Normal;Normal;Carismático;Pouco carismático;Pouco carismático;Normal;Normal;Carismático;Normal;Normal;Pouco carismático;Normal;Normal
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Carismático;Sem carisma;Carismático;Pouco carismático;Normal;Carismático;Carismático;Pouco carismático;Pouco carismático;Carismático;Carismático;Normal;Normal;Carismático;Carismático;Pouco carismático;Pouco carismático;Carismático;Pouco carismático;Carismático
Feminino;18 até 20 anos;Superior Incompleto;Não;Carismático;Carismático;Carismático;Normal;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Ensino Médio Completo;Sim;Muito carismático;Muito carismático;Pouco carismático;Pouco carismático;Normal;Pouco carismático;Pouco carismático;Carismático;Carismático;Muito carismático;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Carismático;Pouco carismático;Pouco carismático;Pouco carismático;Carismático;Pouco carismático
